Compute Bound Thread Num,I/O Bound Thread Num,Memory Bound Thread Num,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15
0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
0,1,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
